,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
上海,1,1,2,1,2,0,1,2,2,2,1,1,2
云南,1,1,1,0,2,1,1,0,0,0,1,2,1
内蒙古,-1,2,1,0,1,2,1,1,0,0,1,1,0
北京,1,2,1,2,1,0,2,0,2,2,1,2,2
台湾,-1,1,0,0,2,0,0,0,1,0,0,0,0
吉林,1,2,1,0,1,0,1,0,0,0,1,1,2
四川,0,1,2,0,2,0,1,0,0,0,2,2,1
天津,1,2,0,0,2,0,1,1,0,0,1,0,1
宁夏,-1,2,1,0,0,1,-1,-1,-1,-1,-1,-1,-1
安徽,1,1,2,0,1,0,1,1,1,1,2,2,0
山东,0,0,2,0,1,1,1,0,0,0,1,2,0
山西,0,1,1,0,1,2,1,0,2,2,1,1,1
广东,0,0,2,2,2,2,1,2,0,2,2,2,0
广西,1,1,0,1,2,1,2,2,0,1,1,0,0
新疆,-1,1,1,0,1,2,2,0,2,0,1,2,2
江苏,1,0,2,0,1,2,1,1,0,0,1,2,0
江西,-1,0,2,0,2,0,1,0,2,1,1,1,1
河北,1,0,2,1,2,0,0,2,2,0,1,2,1
河南,1,2,0,0,1,0,1,0,0,0,1,2,0
浙江,1,1,2,1,1,0,1,0,0,2,1,2,2
海南,-1,2,0,1,2,2,2,1,1,1,0,0,0
湖北,2,1,2,0,0,2,2,0,2,1,2,2,0
湖南,0,2,2,1,2,2,2,2,0,0,1,0,0
澳门,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
甘肃,2,2,0,0,1,1,0,2,0,0,1,1,1
福建,0,1,2,1,2,2,2,0,1,0,1,2,1
西藏,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
贵州,-1,1,0,1,1,1,1,0,2,0,1,0,1
辽宁,1,2,2,2,1,0,2,0,0,0,0,2,1
重庆,1,1,2,1,1,0,2,0,1,0,0,0,2
陕西,0,1,2,1,1,2,1,1,0,2,1,2,0
青海,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
香港,-1,2,1,2,1,0,2,0,2,2,1,2,1
黑龙江,-1,1,0,1,1,2,1,0,2,1,1,1,1
